index,question,A,B,C,D,E,category,clinical VQA task,department,perceptual granularity,modality,original task
16405,Observe the image. What is the most likely abnormality shown in the picture?,chronic lymphocytic leukemia,mantle cell lymphoma,follicular lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16406,Which of the following options best matches the symptoms shown in the image?,follicular lymphoma,chronic lymphocytic leukemia,mantle cell lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16407,View the image provided. What is the likely abnormal condition demonstrated?,chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
16793,"Considering the symptoms visible in the picture, which option corresponds most accurately?",chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16794,Which of the following options best matches the symptoms shown in the image?,chronic lymphocytic leukemia,mantle cell lymphoma,follicular lymphoma,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16796,Observe the image. What is the most likely abnormality shown in the picture?,mantle cell lymphoma,follicular lymphoma,chronic lymphocytic leukemia,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16799,View the image provided. What is the likely abnormal condition demonstrated?,chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16800,"Considering the symptoms visible in the picture, which option corresponds most accurately?",mantle cell lymphoma,follicular lymphoma,chronic lymphocytic leukemia,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16802,Which of the following options best matches the symptoms shown in the image?,mantle cell lymphoma,chronic lymphocytic leukemia,follicular lymphoma,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16804,View the image provided. What is the likely abnormal condition demonstrated?,mantle cell lymphoma,follicular lymphoma,chronic lymphocytic leukemia,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16813,Which of the following options best matches the symptoms shown in the image?,follicular lymphoma,chronic lymphocytic leukemia,mantle cell lymphoma,,,chronic lymphocytic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
2780,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,iliac artery,aorta,renal artery,iliac vein,,aorta,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2781,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",aorta,portal and splenic veins,vena cava,iliac vein,lung vessel,aorta,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2784,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,iliac artery,aorta,renal artery,iliac vein,,aorta,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2785,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",aorta,portal and splenic veins,vena cava,iliac vein,lung vessel,aorta,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2788,View the CT image provided. What organ is displayed in the marked area?,liver vessel,iliac artery,left anterior descending artery,aorta,,aorta,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2789,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,left circumflex artery,aorta,renal artery,left anterior descending artery,portal and splenic veins,aorta,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2790,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,left circumflex artery,aorta,renal artery,left anterior descending artery,portal and splenic veins,aorta,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2791,View the CT image provided. What organ is displayed in the marked area?,liver vessel,iliac artery,left anterior descending artery,aorta,,aorta,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
2800,Which of the following options best matches the marked organ in the CT image?,iliac artery,iliac vein,renal artery,lung vessel,,renal artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2801,View the CT image provided. What organ is displayed in the marked area?,iliac artery,aorta,ascending aorta,renal artery,,renal artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2802,Observe the CT image. Can you identify the organ in the highlight area?,renal artery,liver vessel,ascending aorta,renal vein,aorta,renal artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2803,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",iliac artery,left anterior descending artery,renal vein,ascending aorta,renal artery,renal artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2805,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,renal vein,inferior vena cava,lung vessel,renal artery,,renal artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2829,Which of the following options best matches the marked organ in the CT image?,left circumflex artery,iliac vein,vena cava,renal artery,inferior vena cava,renal artery,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2830,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",iliac artery,left anterior descending artery,renal vein,ascending aorta,renal artery,renal artery,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2831,Observe the CT image. Can you identify the organ in the highlight area?,renal artery,liver vessel,ascending aorta,renal vein,aorta,renal artery,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
2882,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,renal artery,coronary artery,inferior vena cava,aorta,left circumflex artery,inferior vena cava,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2890,Which of the following options best matches the marked organ in the CT image?,vena cava,aorta,liver vessel,inferior vena cava,left anterior descending artery,inferior vena cava,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2891,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",left circumflex artery,inferior vena cava,left anterior descending artery,lung vessel,aorta,inferior vena cava,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2892,Which of the following options best matches the marked organ in the CT image?,vena cava,aorta,liver vessel,inferior vena cava,left anterior descending artery,inferior vena cava,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2893,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",left circumflex artery,inferior vena cava,left anterior descending artery,lung vessel,aorta,inferior vena cava,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2894,View the CT image provided. What organ is displayed in the marked area?,iliac artery,iliac vein,aorta,portal and splenic veins,inferior vena cava,inferior vena cava,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2896,Observe the CT image. Can you identify the organ in the highlight area?,renal artery,left circumflex artery,vena cava,aorta,inferior vena cava,inferior vena cava,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
2897,View the CT image provided. What organ is displayed in the marked area?,iliac artery,iliac vein,aorta,portal and splenic veins,inferior vena cava,inferior vena cava,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
,,,,,,,,,,,,
2901,Observe the CT image. Can you identify the organ in the highlight area?,ascending aorta,iliac artery,inferior vena cava,iliac vein,liver vessel,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2902,View the CT image provided. What organ is displayed in the marked area?,iliac artery,liver vessel,lung vessel,coronary artery,vena cava,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2903,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",lung vessel,iliac artery,inferior vena cava,left circumflex artery,liver vessel,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2905,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,portal and splenic veins,iliac vein,iliac artery,liver vessel,left circumflex artery,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2912,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",inferior vena cava,aorta,iliac artery,portal and splenic veins,,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2920,Observe the CT image. Can you identify the organ in the highlight area?,iliac vein,iliac artery,left circumflex artery,liver vessel,,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2924,Which of the following options best matches the marked organ in the CT image?,liver vessel,renal vein,iliac artery,ascending aorta,aorta,iliac artery,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2949,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",lung vessel,iliac artery,inferior vena cava,left circumflex artery,liver vessel,iliac artery,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
2950,Observe the CT image. Can you identify the organ in the highlight area?,aorta,renal artery,inferior vena cava,renal vein,,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2951,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",aorta,renal vein,lung vessel,inferior vena cava,renal artery,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2953,View the CT image provided. What organ is displayed in the marked area?,renal artery,inferior vena cava,renal vein,aorta,,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2954,Which of the following options best matches the marked organ in the CT image?,renal artery,lung vessel,renal vein,aorta,inferior vena cava,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2955,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,renal vein,aorta,lung vessel,inferior vena cava,,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2960,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",renal artery,renal vein,inferior vena cava,lung vessel,aorta,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2962,Observe the CT image. Can you identify the organ in the highlight area?,aorta,lung vessel,renal vein,renal artery,,renal vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
2999,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",inferior vena cava,renal vein,lung vessel,aorta,renal artery,renal vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
3000,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",iliac vein,inferior vena cava,aorta,iliac artery,portal and splenic veins,iliac vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3004,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,iliac vein,inferior vena cava,aorta,iliac artery,,iliac vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3010,Observe the CT image. Can you identify the organ in the highlight area?,left circumflex artery,iliac vein,inferior vena cava,renal artery,lung vessel,iliac vein,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3043,Which of the following options best matches the marked organ in the CT image?,portal and splenic veins,iliac vein,aorta,iliac artery,,iliac vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3045,View the CT image provided. What organ is displayed in the marked area?,iliac vein,inferior vena cava,vena cava,lung vessel,,iliac vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3046,Observe the CT image. Can you identify the organ in the highlight area?,aorta,portal and splenic veins,inferior vena cava,iliac vein,iliac artery,iliac vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3047,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,portal and splenic veins,liver vessel,ascending aorta,iliac vein,inferior vena cava,iliac vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3049,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",portal and splenic veins,vena cava,liver vessel,left anterior descending artery,iliac vein,iliac vein,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
3064,View the CT image provided. What organ is displayed in the marked area?,portal and splenic veins,aorta,inferior vena cava,vena cava,,portal and splenic veins,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3065,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,inferior vena cava,aorta,vena cava,portal and splenic veins,,portal and splenic veins,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3070,Observe the CT image. Can you identify the organ in the highlight area?,inferior vena cava,iliac artery,portal and splenic veins,iliac vein,,portal and splenic veins,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3076,Which of the following options best matches the marked organ in the CT image?,aorta,iliac vein,iliac artery,inferior vena cava,portal and splenic veins,portal and splenic veins,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3084,"Looking at the marked ares in the provided CT image, which option would be the most organ like?",aorta,iliac artery,portal and splenic veins,inferior vena cava,iliac vein,portal and splenic veins,Blood Vessels Recognition,Hematology,Contour level,CT,SEG_3D
3090,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",aorta,lung vessel,inferior vena cava,left anterior descending artery,portal and splenic veins,portal and splenic veins,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3098,Observe the CT image. Can you identify the organ in the highlight area?,inferior vena cava,iliac artery,portal and splenic veins,iliac vein,,portal and splenic veins,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
3099,Which of the following options best matches the marked organ in the CT image?,aorta,iliac vein,iliac artery,inferior vena cava,portal and splenic veins,portal and splenic veins,Blood Vessels Recognition,Hematology,Mask level,CT,SEG_3D
,,,,,,,,,,,,
3104,View the MRI image provided. What organ is displayed in the marked area?,iliac artery,ascending aorta,iliac vein,left circumflex artery,inferior vena cava,ascending aorta,Blood Vessels Recognition,Hematology,Mask level,MRI,SEG_3D
,,,,,,,,,,,,
3357,This is a CT image. Which of the following options is the most appropriate to describe the marked area?,ventricle,atrium,myocardium,trachea,pulmonary artery,pulmonary artery,Organ Recognition - Thorax,Hematology,Mask level,CT,SEG_3D
3358,"Considering the organ visible marked in the CT picture, which option corresponds most accurately?",breast,lung,upper lobe,pulmonary artery,,pulmonary artery,Organ Recognition - Thorax,Hematology,Mask level,CT,SEG_3D
3359,Observe the CT image. Can you identify the organ in the highlight area?,esophagus,lower lobe,upper lobe,pulmonary artery,,pulmonary artery,Organ Recognition - Thorax,Hematology,Mask level,CT,SEG_3D
3380,Which of the following options best matches the marked organ in the MRI image?,breast,esophagus,trachea,pulmonary artery,,pulmonary artery,Organ Recognition - Thorax,Hematology,Contour level,MRI,SEG_3D
3389,Which of the following options best matches the marked organ in the MRI image?,myocardium,bronchus,thoracic cavity,pulmonary artery,,pulmonary artery,Organ Recognition - Thorax,Hematology,Mask level,MRI,SEG_3D
3398,"Looking at the marked ares in the provided MRI image, which option would be the most organ like?",thoracic cavity,ventricle,bronchus,upper lobe,pulmonary artery,pulmonary artery,Organ Recognition - Thorax,Hematology,Mask level,MRI,SEG_3D
,,,,,,,,,,,,
15369,"Considering the abnormality visible in the picture, which option corresponds most accurately?",abdomen post operation,abdomen osseous neoplasm,abdomen arterial pathology,abdomen liver lesion,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15370,Observe the image. What is the most likely abnormality shown in the picture?,abdomen arterial pathology,lung interstitial lung disease,lung nodule,abdomen splenic lesion,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15372,View the image provided. What is the likely abnormal condition demonstrated?,abdomen soft tissue mass,abdomen arterial pathology,lung parenchymal destruction,abdomen osseous neoplasm,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15384,"Considering the abnormality visible in the picture, which option corresponds most accurately?",abdomen osseous neoplasm,abdomen prostate lesion,lung bronchiectasis,abdomen arterial pathology,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15386,View the image provided. What is the likely abnormal condition demonstrated?,abdomen pancreatic lesion,abdomen abnormal entire organ,abdomen arterial pathology,lung bronchiectasis,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15387,Observe the image. What is the most likely abnormality shown in the picture?,abdomen gallstone,abdomen bowel inflammation,abdomen urolithiasis,abdomen arterial pathology,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15390,Which of the following options best matches the abnormality shown in the image?,abdomen ovarian pathology,abdomen gallbladder pathology,abdomen post operation,abdomen arterial pathology,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
15391,View the image provided. What is the likely abnormal condition demonstrated?,abdomen splenic lesion,abdomen renal lesion,abdomen arterial pathology,abdomen soft tissue mass,,abdomen arterial pathology,Disease Diagnosis,Hematology,Image level,CT,CLS_2D
,,,,,,,,,,,,
10000,Observe the microscopy image. Can you identify the target within the outlined box?,red blood cell,platelet,mycobacterium tuberculosis,white blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
10001,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",platelet,white blood cell,red blood cell,mycobacterium tuberculosis,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
10002,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",platelet,white blood cell,red blood cell,mycobacterium tuberculosis,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
10003,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",white blood cell,mycobacterium tuberculosis,red blood cell,platelet,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
10004,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",mycobacterium tuberculosis,white blood cell,red blood cell,platelet,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
,,,,,,,,,,,,
11014,View the image provided. What is the likely abnormal condition demonstrated?,acute lymphoblastic leukemia,hematologic malignancies,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11015,Observe the image. What is the most likely abnormality shown in the picture?,hematologic malignancies,acute lymphoblastic leukemia,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11016,"Considering the symptoms visible in the picture, which option corresponds most accurately?",hematologic malignancies,acute lymphoblastic leukemia,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11028,Which of the following options best matches the symptoms shown in the image?,acute lymphoblastic leukemia,hematologic malignancies,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11030,View the image provided. What is the likely abnormal condition demonstrated?,hematologic malignancies,acute lymphoblastic leukemia,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11033,Observe the image. What is the most likely abnormality shown in the picture?,hematologic malignancies,acute lymphoblastic leukemia,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11036,"Considering the symptoms visible in the picture, which option corresponds most accurately?",hematologic malignancies,acute lymphoblastic leukemia,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
11038,View the image provided. What is the likely abnormal condition demonstrated?,acute lymphoblastic leukemia,hematologic malignancies,,,,hematologic malignancies,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
11439,Observe the image. What is the most likely abnormality shown in the picture?,mantle cell lymphoma,chronic lymphocytic leukemia,follicular lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11440,Which of the following options best matches the symptoms shown in the image?,chronic lymphocytic leukemia,mantle cell lymphoma,follicular lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11446,"Considering the symptoms visible in the picture, which option corresponds most accurately?",mantle cell lymphoma,follicular lymphoma,chronic lymphocytic leukemia,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11449,View the image provided. What is the likely abnormal condition demonstrated?,follicular lymphoma,chronic lymphocytic leukemia,mantle cell lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11455,Which of the following options best matches the symptoms shown in the image?,chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11456,"Considering the symptoms visible in the picture, which option corresponds most accurately?",follicular lymphoma,mantle cell lymphoma,chronic lymphocytic leukemia,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11457,Observe the image. What is the most likely abnormality shown in the picture?,chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
11459,"Considering the symptoms visible in the picture, which option corresponds most accurately?",chronic lymphocytic leukemia,mantle cell lymphoma,follicular lymphoma,,,mantle cell lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
8340,What is visible in the highlighted area of the Histopathology image?,soft tissue cell,epithelial cell,dead cell,neoplastic cell,,soft tissue cell,Cell Recognition,Hematology,Mask level,Histopathology,SEG_2D
8341,Which cell type is present in the marked section of the Histopathology image?,soft tissue cell,neoplastic cell,epithelial cell,dead cell,inflammatory cell,soft tissue cell,Cell Recognition,Hematology,Mask level,Histopathology,SEG_2D
8342,What is present in the marked area of the Histopathology image?,inflammatory cell,neoplastic cell,soft tissue cell,dead cell,,soft tissue cell,Cell Recognition,Hematology,Mask level,Histopathology,SEG_2D
8346,Which cell type is indicated in the highlighted area of the Histopathology image?,dead cell,soft tissue cell,neoplastic cell,inflammatory cell,,soft tissue cell,Cell Recognition,Hematology,Mask level,Histopathology,SEG_2D
8358,What is visible in the highlighted area of the Histopathology image?,inflammatory cell,soft tissue cell,epithelial cell,dead cell,,soft tissue cell,Cell Recognition,Hematology,Mask level,Histopathology,SEG_2D
8365,"Looking at the marked ares in the provided Histopathology image, which option would be the most organ like?",dead cell,soft tissue cell,neoplastic cell,inflammatory cell,,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
8366,View the Histopathology image provided. What organ is displayed in the marked area?,neoplastic cell,epithelial cell,dead cell,inflammatory cell,soft tissue cell,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
8367,Observe the Histopathology image. Can you identify the organ in the highlight area?,inflammatory cell,epithelial cell,dead cell,neoplastic cell,soft tissue cell,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
8368,"Considering the organ visible marked in the Histopathology picture, which option corresponds most accurately?",epithelial cell,soft tissue cell,dead cell,inflammatory cell,neoplastic cell,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
8370,This is a Histopathology image. Which of the following options is the most appropriate to describe the marked area?,soft tissue cell,epithelial cell,dead cell,inflammatory cell,neoplastic cell,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
8388,Which of the following options best matches the marked organ in the Histopathology image?,soft tissue cell,epithelial cell,neoplastic cell,dead cell,inflammatory cell,soft tissue cell,Cell Recognition,Hematology,Contour level,Histopathology,SEG_2D
,,,,,,,,,,,,
8541,Observe the Microscopy image. Can you identify the organ in the highlight area?,cell nucleus,dead cell,retinal pigmented epithelium cell,erythrocytes,inflammatory cell,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8542,This is a Microscopy image. Which of the following options is the most appropriate to describe the marked area?,cell nucleus,erythrocytes,dead cell,inflammatory cell,,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8544,View the Microscopy image provided. What organ is displayed in the marked area?,cytoplasm,spirochaete,photoreceptor cell,erythrocytes,,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8547,"Considering the organ visible marked in the Microscopy picture, which option corresponds most accurately?",erythrocytes,dead cell,cytoplasm,photoreceptor cell,,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8548,Which of the following options best matches the marked organ in the Microscopy image?,erythrocytes,inflammatory cell,epithelial cell,cell nucleus,dead cell,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8558,"Looking at the marked ares in the provided Microscopy image, which option would be the most organ like?",photoreceptor cell,inflammatory cell,erythrocytes,dead cell,soft tissue cell,erythrocytes,Cell Recognition,Hematology,Contour level,Microscopy,SEG_2D
8565,Which cell type is indicated in the highlighted area of the Microscopy image?,inflammatory cell,photoreceptor cell,erythrocytes,dead cell,cytoplasm,erythrocytes,Cell Recognition,Hematology,Mask level,Microscopy,SEG_2D
8566,What is present in the marked area of the Microscopy image?,retinal pigmented epithelium cell,soft tissue cell,inflammatory cell,spirochaete,erythrocytes,erythrocytes,Cell Recognition,Hematology,Mask level,Microscopy,SEG_2D
8568,What is visible in the highlighted area of the Microscopy image?,photoreceptor cell,inflammatory cell,erythrocytes,dead cell,soft tissue cell,erythrocytes,Cell Recognition,Hematology,Mask level,Microscopy,SEG_2D
8579,Which cell type is present in the marked section of the Microscopy image?,soft tissue cell,erythrocytes,cell nucleus,neoplastic cell,,erythrocytes,Cell Recognition,Hematology,Mask level,Microscopy,SEG_2D
,,,,,,,,,,,,
9930,Observe the microscopy image. Can you identify the target within the outlined box?,red blood cell,mycobacterium tuberculosis,white blood cell,platelet,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9931,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",white blood cell,red blood cell,platelet,mycobacterium tuberculosis,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9935,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,platelet,mycobacterium tuberculosis,red blood cell,white blood cell,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9939,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",platelet,mycobacterium tuberculosis,red blood cell,white blood cell,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9940,Which of the following options best matches the marked target in the microscopy image?,red blood cell,mycobacterium tuberculosis,white blood cell,platelet,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9945,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,platelet,mycobacterium tuberculosis,white blood cell,red blood cell,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9946,Observe the microscopy image. Can you identify the target within the outlined box?,mycobacterium tuberculosis,platelet,white blood cell,red blood cell,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9949,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",white blood cell,platelet,mycobacterium tuberculosis,red blood cell,,platelet,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
,,,,,,,,,,,,
9956,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,red blood cell,platelet,white blood cell,mycobacterium tuberculosis,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9957,View the microscopy image provided. What target is displayed in the boxed region?,mycobacterium tuberculosis,red blood cell,white blood cell,platelet,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9958,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",mycobacterium tuberculosis,red blood cell,white blood cell,platelet,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9959,Which of the following options best matches the marked target in the microscopy image?,platelet,mycobacterium tuberculosis,red blood cell,white blood cell,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9960,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",white blood cell,mycobacterium tuberculosis,red blood cell,platelet,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
